"","country","pageid","wikidataid","wikititle","name","sex","ethnicity","religion","birth","death","birthplace","deathplace"
"1","USA-S",367103,"Q59315","Patrick_Leahy","Patrick Leahy","male","white","catholicism",1940-03-31,NA,"44.26586,-72.57174",NA
"2","USA-S",215956,"Q723896","Thad_Cochran","Thad Cochran","male","white","protestantism baptist",1937-12-07,NA,"34.2486,-89.0067",NA
"3","USA-S",168932,"Q381157","Orrin_Hatch","Orrin Hatch","male","white","protestantism restorationism",1934-03-22,NA,"-32.05361,115.97056",NA
"4","USA-S",375263,"Q529294","Chuck_Grassley","Chuck Grassley","male","white","protestantism baptist",1933-09-17,NA,"42.56722,-92.62139",NA
"5","USA-S",350567,"Q355522","Mitch_McConnell","Mitch McConnell","male","white","protestantism baptist",1942-02-20,NA,"34.73084,-87.70285",NA
"6","USA-S",375231,"Q472254","Richard_Shelby","Richard Shelby","male","white","protestantism reformed",1934-05-06,NA,"33.52475,-86.81274",NA
"7","USA-S",43715,"Q10390","John_McCain","John McCain","male","white","protestantism",1936-08-29,2018-08-25,"9.37262,-79.8812","34.7161,-111.91"
"8","USA-S",224672,"Q230733","Dianne_Feinstein","Dianne Feinstein","female","white","judaism",1933-06-22,NA,"37.76667,-122.43333",NA
"9","USA-S",380802,"Q723134","Jim_Inhofe","James Inhofe","male","white","protestantism reformed",1934-11-17,NA,"41.59083,-93.62083",NA
"10","USA-S",181042,"Q258825","Patty_Murray","Patty Murray","female","white","catholicism",1950-10-11,NA,"47.6,-122.31667",NA
"11","USA-S",340569,"Q371031","Jon_Kyl","Jon Kyl","male","white","protestantism reformed",1942-04-25,NA,"41.835,-96.46611",NA
"12","USA-S",172827,"Q529344","Ron_Wyden","Ron Wyden","male","white","judaism",1949-05-03,NA,"37.68889,-97.33611",NA
"13","USA-S",375234,"Q358443","Jeff_Sessions","Jeff Sessions","male","white","protestantism methodist",1946-12-24,NA,"32.41,-87.02",NA
"14","USA-S",335005,"Q434804","Dick_Durbin","Dick Durbin","male","white","catholicism",1944-11-21,NA,"38.61556,-90.12778",NA
"15","USA-S",363280,"Q538375","Pat_Roberts","Pat Roberts","male","white","protestantism methodist",1936-04-20,NA,"39.04833,-95.67804",NA
"16","USA-S",375195,"Q22279","Susan_Collins","Susan Collins","female","white","catholicism",1952-12-07,NA,"46.86361,-67.99806",NA
"17","USA-S",367115,"Q528979","Jack_Reed_(Rhode_Island_politician)","Jack Reed","male","white","catholicism",1949-11-12,NA,"41.83083,-71.415",NA
"18","USA-S",381742,"Q432431","Mike_Enzi","Michael Enzi","male","white","protestantism reformed",1944-02-01,NA,"47.57,-122.6525",NA
"19","USA-S",381736,"Q734319","Mike_Crapo","Mike Crapo","male","white","protestantism restorationism",1951-05-20,NA,"43.38,-111.6",NA
"20","USA-S",326708,"Q380900","Chuck_Schumer","Chuck Schumer","male","white","judaism",1950-11-23,NA,"40.69278,-73.99028",NA
